1,04/04/04,v,k,lp1,70,5000.0
2,06/06/06,Ved,Koul,lp1,50,900.0
3,05/05/05,baso,ebose,lp4,7,7000.0
4,08/08/08,vp,cv,lp4,7,7000.0
5,12/12/2018,vk,lp,lp4,8,32000.0
6,12/12/2018,jj,kk,lp4,7,28000.0
7,12/12/2018,v,k,lp6,4,3600.0
8,12/12/2018,v,g,lp6,4,3600.0
9,12/12/2018,v,h,lp6,3,2700.0
10,12/12/2018,v,k,lp6,3,2700.0
11,12/12/2018,v,k,lp6,3,2700.0
12,12/12/2018,v,k,lp6,3,2700.0
13,12/12/2018,v,k,lp6,2,1800.0
14,12/12/2018,v,k,lp6,3,2700.0
15,14/12/2018,v,j,lp6,3,2700.0
16,14/12/2018,fhj,ser,ms5,9,8100.0
17,14/12/2018,v,k,lp6,3,2700.0
18,14/12/2018,v,k,ms5,16,14400.0
